time,case,area,replicate,Experimenter
9,Control,1.725628261560644,source1,Exp1
19,Control,2.249680615599294,source1,Exp1
29,Control,2.552634430174177,source1,Exp1
39,Control,2.601807126350017,source1,Exp1
49,Control,2.5985329153455723,source1,Exp1
59,Control,2.592817928865087,source1,Exp1
69,Control,2.586269506856198,source1,Exp1
79,Control,2.577458902698784,source1,Exp1
89,Control,2.5984733842364007,source1,Exp1
99,Control,2.589305593423956,source1,Exp1
109,Control,2.586507631292885,source1,Exp1
119,Control,2.5909129333715923,source1,Exp1
129,Control,2.5865671624020568,source1,Exp1
139,Control,2.584304980253531,source1,Exp1
149,Control,2.592044024445855,source1,Exp1
159,Control,2.5866862246204003,source1,Exp1
169,Control,2.587579191257976,source1,Exp1
179,Control,2.588948406768925,source1,Exp1
189,Control,2.5819237358866625,source1,Exp1
199,Control,2.583114358070097,source1,Exp1
209,Control,2.58597185131034,source1,Exp1
219,Control,2.5887698134414103,source1,Exp1
229,Control,2.589662780078986,source1,Exp1
239,Control,2.589246062314784,source1,Exp1
249,Control,2.613653817075189,source1,Exp1
259,Control,2.6083555483589063,source1,Exp1
269,Control,2.597342293162138,source1,Exp1
279,Control,2.6134156926385024,source1,Exp1
289,Control,2.60883179723228,source1,Exp1
299,Control,2.6186544302456136,source1,Exp1
308,Control,2.633477676429372,source1,Exp1
309,Control,,source1,Exp1
318,Control,2.625738632237048,source1,Exp1
319,Control,,source1,Exp1
328,Control,2.623000201215149,source1,Exp1
329,Control,,source1,Exp1
338,Control,2.6522299758184635,source1,Exp1
339,Control,,source1,Exp1
348,Control,2.645860147137089,source1,Exp1
358,Control,2.647110300429696,source1,Exp1
368,Control,2.6354422030320386,source1,Exp1
378,Control,2.6538373157661,source1,Exp1
388,Control,2.6634813554519186,source1,Exp1
398,Control,2.661993077722626,source1,Exp1
408,Control,2.66008808222913,source1,Exp1
418,Control,2.658540273390666,source1,Exp1
428,Control,2.668303375294828,source1,Exp1
438,Control,2.6839005258978186,source1,Exp1
448,Control,2.674077892884485,source1,Exp1
458,Control,2.681757405967637,source1,Exp1
468,Control,2.696223465496365,source1,Exp1
478,Control,2.696223465496365,source1,Exp1
488,Control,2.7077129695665065,source1,Exp1
498,Control,2.7064032851647286,source1,Exp1
508,Control,2.7094393717324867,source1,Exp1
518,Control,2.707415314020648,source1,Exp1
528,Control,2.7236673068245274,source1,Exp1
538,Control,2.727358235593174,source1,Exp1
548,Control,2.7379547730257405,source1,Exp1
558,Control,2.742895855086993,source1,Exp1
568,Control,2.734680562021296,source1,Exp1
578,Control,2.737002275278993,source1,Exp1
588,Control,2.7517659903535794,source1,Exp1
598,Control,2.7523017703361248,source1,Exp1
607,Control,2.740633672938468,source1,Exp1
608,Control,,source1,Exp1
617,Control,2.7467058460739837,source1,Exp1
618,Control,,source1,Exp1
627,Control,2.7610528433843675,source1,Exp1
628,Control,,source1,Exp1
637,Control,2.7424196062136192,source1,Exp1
638,Control,,source1,Exp1
647,Control,2.772423285236166,source1,Exp1
648,Control,,source1,Exp1
657,Control,2.774864060712207,source1,Exp1
658,Control,,source1,Exp1
667,Control,2.768970480904206,source1,Exp1
668,Control,,source1,Exp1
677,Control,2.773078127437055,source1,Exp1
678,Control,,source1,Exp1
687,Control,2.770399227524328,source1,Exp1
697,Control,2.7721256296903074,source1,Exp1
707,Control,2.7961761977956825,source1,Exp1
717,Control,2.792187613481177,source1,Exp1
727,Control,2.783019822668732,source1,Exp1
737,Control,2.78986590022348,source1,Exp1
747,Control,2.794568857848046,source1,Exp1
757,Control,2.798914628817581,source1,Exp1
767,Control,2.8041533664246927,source1,Exp1
777,Control,2.795819011140652,source1,Exp1
787,Control,2.8134402194554813,source1,Exp1
797,Control,2.80093868652942,source1,Exp1
807,Control,2.8165358371324105,source1,Exp1
817,Control,2.818143177080047,source1,Exp1
827,Control,2.813678343892168,source1,Exp1
837,Control,2.813856937219683,source1,Exp1
847,Control,2.820703014774431,source1,Exp1
857,Control,2.8033794620054606,source1,Exp1
867,Control,2.82171504363035,source1,Exp1
877,Control,2.8160595882590367,source1,Exp1
887,Control,2.8212983258661484,source1,Exp1
897,Control,2.829692212259361,source1,Exp1
906,Control,2.821655512521178,source1,Exp1
907,Control,,source1,Exp1
916,Control,2.8147499038572588,source1,Exp1
917,Control,,source1,Exp1
926,Control,2.823858163560532,source1,Exp1
927,Control,,source1,Exp1
936,Control,2.8250487857439666,source1,Exp1
937,Control,,source1,Exp1
946,Control,2.829989867805219,source1,Exp1
947,Control,,source1,Exp1
956,Control,2.837490787560856,source1,Exp1
957,Control,,source1,Exp1
966,Control,2.83070424111528,source1,Exp1
967,Control,,source1,Exp1
976,Control,2.835526260958189,source1,Exp1
977,Control,,source1,Exp1
986,Control,2.8139164683288547,source1,Exp1
987,Control,,source1,Exp1
996,Control,2.826418001254916,source1,Exp1
997,Control,,source1,Exp1
1006,Control,2.8324901743904314,source1,Exp1
1007,Control,,source1,Exp1
1016,Control,2.835228605412331,source1,Exp1
1017,Control,,source1,Exp1
1026,Control,2.839455314163523,source1,Exp1
1036,Control,2.859517297954392,source1,Exp1
1046,Control,2.867494466583403,source1,Exp1
1056,Control,2.8386218786351187,source1,Exp1
1066,Control,2.8535641870372204,source1,Exp1
1076,Control,2.831597207752856,source1,Exp1
1086,Control,2.8568979291508367,source1,Exp1
1096,Control,2.8395148452726944,source1,Exp1
1106,Control,2.8376098497791995,source1,Exp1
1116,Control,2.851182942670352,source1,Exp1
1126,Control,2.8656490021990795,source1,Exp1
1136,Control,2.8461227983907555,source1,Exp1
1146,Control,2.858505269098473,source1,Exp1
1156,Control,2.859457766845221,source1,Exp1
1166,Control,2.839455314163523,source1,Exp1
1176,Control,2.839574376381866,source1,Exp1
1186,Control,2.839752969709381,source1,Exp1
1196,Control,2.841062654111159,source1,Exp1
1205,Control,2.837193132014997,source1,Exp1
1206,Control,,source1,Exp1
1215,Control,2.837490787560856,source1,Exp1
1216,Control,,source1,Exp1
1225,Control,2.8389195341809774,source1,Exp1
1226,Control,,source1,Exp1
1235,Control,2.8611246379020288,source1,Exp1
1245,Control,2.8261798768182294,source1,Exp1
1255,Control,2.8499923204869173,source1,Exp1
1265,Control,2.840169687473584,source1,Exp1
1275,Control,2.8333831410280075,source1,Exp1
1285,Control,2.837669380888371,source1,Exp1
1295,Control,2.818083645970875,source1,Exp1
1305,Control,2.868506495439322,source1,Exp1
1315,Control,2.8301684611327342,source1,Exp1
1325,Control,2.834573763211442,source1,Exp1
1335,Control,2.84040781191027,source1,Exp1
1345,Control,2.8258822212723707,source1,Exp1
1355,Control,2.821179263647805,source1,Exp1
1365,Control,2.831120958879482,source1,Exp1
1375,Control,2.822846134704613,source1,Exp1
1385,Control,2.827370499001664,source1,Exp1
9,Control,1.6838374229220965,source2,Exp1
19,Control,2.2521213910753346,source2,Exp1
29,Control,2.600497441948239,source2,Exp1
39,Control,2.621511923485856,source2,Exp1
49,Control,2.618356774699755,source2,Exp1
59,Control,2.620916612394139,source2,Exp1
69,Control,2.6228811389968056,source2,Exp1
79,Control,2.6224048901234323,source2,Exp1
89,Control,2.615618343677856,source2,Exp1
99,Control,2.613594285966017,source2,Exp1
109,Control,2.6129989748743,source2,Exp1
119,Control,2.6244884789444423,source2,Exp1
129,Control,2.6129394437651285,source2,Exp1
139,Control,2.61436819038525,source2,Exp1
149,Control,2.614963501476967,source2,Exp1
159,Control,2.617344745843836,source2,Exp1
169,Control,2.614784908149452,source2,Exp1
179,Control,2.615915999223714,source2,Exp1
189,Control,2.614546783712765,source2,Exp1
199,Control,2.615142094804482,source2,Exp1
209,Control,2.61645177920626,source2,Exp1
219,Control,2.6168684969704623,source2,Exp1
229,Control,2.6179995880447247,source2,Exp1
239,Control,2.6202022390840782,source2,Exp1
249,Control,2.622047703468401,source2,Exp1
259,Control,2.621273799049169,source2,Exp1
269,Control,2.625560038909533,source2,Exp1
279,Control,2.628477063258948,source2,Exp1
289,Control,2.630262996534099,source2,Exp1
299,Control,2.6336562697568877,source2,Exp1
308,Control,2.6348468919403216,source2,Exp1
309,Control,,source2,Exp1
318,Control,2.639668911783231,source2,Exp1
319,Control,,source2,Exp1
328,Control,2.6449076493903423,source2,Exp1
329,Control,,source2,Exp1
338,Control,2.6518132580542617,source2,Exp1
339,Control,,source2,Exp1
348,Control,2.653658722438585,source2,Exp1
358,Control,2.659790426683272,source2,Exp1
368,Control,2.668481968622343,source2,Exp1
378,Control,2.6622312021593126,source2,Exp1
388,Control,2.6759233572688084,source2,Exp1
398,Control,2.680626314893374,source2,Exp1
408,Control,2.681043032657576,source2,Exp1
418,Control,2.6820550615134957,source2,Exp1
428,Control,2.689972699033334,source2,Exp1
438,Control,2.691818163417657,source2,Exp1
448,Control,2.6992000209549505,source2,Exp1
458,Control,2.704676882998749,source2,Exp1
468,Control,2.7003311120292133,source2,Exp1
478,Control,2.7030695430511127,source2,Exp1
488,Control,2.7079510940031937,source2,Exp1
498,Control,2.7136065493745067,source2,Exp1
508,Control,2.715987793741376,source2,Exp1
518,Control,2.7198573158375376,source2,Exp1
528,Control,2.726227144518912,source2,Exp1
538,Control,2.7330136909644875,source2,Exp1
548,Control,2.73343040872869,source2,Exp1
558,Control,2.7381928974624272,source2,Exp1
568,Control,2.741586170685215,source2,Exp1
578,Control,2.7426577306503064,source2,Exp1
588,Control,2.7543853591571352,source2,Exp1
598,Control,2.7561712924322865,source2,Exp1
607,Control,2.768672825358348,source2,Exp1
608,Control,,source2,Exp1
617,Control,2.766529705428166,source2,Exp1
618,Control,,source2,Exp1
627,Control,2.770458758633499,source2,Exp1
628,Control,,source2,Exp1
637,Control,2.769506260886752,source2,Exp1
638,Control,,source2,Exp1
647,Control,2.775221247367237,source2,Exp1
648,Control,,source2,Exp1
657,Control,2.7700420408692974,source2,Exp1
658,Control,,source2,Exp1
667,Control,2.7761737451139843,source2,Exp1
668,Control,,source2,Exp1
677,Control,2.7837937270879647,source2,Exp1
678,Control,,source2,Exp1
687,Control,2.791770895716975,source2,Exp1
697,Control,2.796890571105743,source2,Exp1
707,Control,2.80474867751641,source2,Exp1
717,Control,2.795819011140652,source2,Exp1
727,Control,2.8042128975338647,source2,Exp1
737,Control,2.80784429519334,source2,Exp1
747,Control,2.810939912870269,source2,Exp1
